authority_code,authority_name,lat,lon
E08000016,Barnsley,53.52577,-1.54925
E08000025,Birmingham,52.48404,-1.88141
E08000001,Bolton,53.58449,-2.47952
E08000002,Bury,53.5931,-2.3088
E08000026,Coventry,52.41423,-1.51908
E08000017,Doncaster,53.52697,-1.10894
E08000027,Dudley,52.49513,-2.10171
E08000037,Gateshead,54.93115,-1.68696
E08000011,Knowsley,53.43788,-2.83297
E08000012,Liverpool,53.4083,-2.91364
E08000003,Manchester,53.47009,-2.23359
E08000021,Newcastle upon Tyne,55.021,-1.65297
E08000022,North Tyneside,55.02896,-1.50923
E08000004,Oldham,53.55768,-2.05274
E08000005,Rochdale,53.60741,-2.14784
E08000018,Rotherham,53.39553,-1.28651
E08000006,Salford,53.47927,-2.38485
E08000028,Sandwell,52.51477,-2.00771
E08000014,Sefton,53.4821,-2.99177
E08000019,Sheffield,53.40358,-1.54254
E08000029,Solihull,52.431,-1.71558
E08000023,South Tyneside,54.96988,-1.44679
E08000013,St. Helens,53.45862,-2.7031
E08000007,Stockport,53.39116,-2.12467
E08000024,Sunderland,54.85719,-1.43344
E08000008,Tameside,53.47867,-2.077
E08000009,Trafford,53.41671,-2.36572
E08000030,Walsall,52.60503,-1.97044
E08000010,Wigan,53.51444,-2.57247
E08000015,Wirral,53.37478,-3.06701
E08000031,Wolverhampton,52.59788,-2.12746
E09000002,Barking and Dagenham,51.54555,0.129479
E09000003,Barnet,51.61108,-0.21821
E09000004,Bexley,51.45822,0.146212
E09000005,Brent,51.56441,-0.27568
E09000006,Bromley,51.37267,0.039246
E09000007,Camden,51.54306,-0.16289
E09000008,Croydon,51.36598,-0.07761
E09000009,Ealing,51.52443,-0.31407
E09000010,Enfield,51.64888,-0.08147
E09000011,Greenwich,51.46394,0.050093
E09000012,Hackney,51.55492,-0.06045
E09000013,Hammersmith and Fulham,51.48733,-0.21735
E09000014,Haringey,51.58771,-0.10667
E09000015,Harrow,51.59467,-0.33603
E09000016,Havering,51.56519,0.235368
E09000017,Hillingdon,51.53663,-0.44182
E09000018,Hounslow,51.46243,-0.37847
E09000019,Islington,51.54548,-0.10992
E09000020,Kensington and Chelsea,51.49644,-0.18976
E09000021,Kingston upon Thames,51.39296,-0.28367
E09000022,Lambeth,51.46445,-0.11386
E09000023,Lewisham,51.44231,-0.01733
E09000024,Merton,51.41057,-0.18867
E09000025,Newham,51.53147,0.027275
E09000026,Redbridge,51.58588,0.070085
E09000027,Richmond upon Thames,51.44035,-0.28914
E09000028,Southwark,51.46589,-0.07309
E09000029,Sutton,51.35756,-0.17227
E09000030,Tower Hamlets,51.51554,-0.03647
E09000031,Waltham Forest,51.59461,-0.01881
E09000032,Wandsworth,51.4524,-0.20023
E09000033,Westminster,51.5122,-0.15295
E08000032,Bradford,53.84382,-1.87389
E08000033,Calderdale,53.72048,-1.96182
E08000034,Kirklees,53.64233,-1.78085
E08000035,Leeds,53.82273,-1.50736
E08000036,Wakefield,53.65922,-1.42092
